time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-11-04 08:00:00,2021-11-03 22:00:00,1.16071,1.16162,1.1581,1.15836,13673,0,21,36000.0
2021-11-04 12:00:00,2021-11-04 08:30:00,1.15836,1.15862,1.15444,1.15452,13106,0,8,12600.0
2021-11-04 15:00:00,2021-11-04 12:30:00,1.15451,1.15731,1.15427,1.15628,13819,0,6,9000.0
2021-11-04 17:30:00,2021-11-04 15:30:00,1.15628,1.1567,1.15284,1.15453,14200,0,5,7200.0
2021-11-04 23:30:00,2021-11-04 18:00:00,1.15453,1.15575,1.1540300000000001,1.15539,13363,0,12,19800.0
2021-11-05 08:30:00,2021-11-05 00:00:00,1.15537,1.15577,1.15409,1.15543,13233,0,18,30600.0
2021-11-05 12:30:00,2021-11-05 09:00:00,1.15544,1.1562999999999999,1.15313,1.15366,14133,0,8,12600.0
2021-11-05 15:00:00,2021-11-05 13:00:00,1.15367,1.15405,1.15134,1.15305,14725,0,5,7200.0
2021-11-05 17:30:00,2021-11-05 15:30:00,1.15306,1.15563,1.15171,1.15523,14476,0,5,7200.0
2021-11-08 01:00:00,2021-11-05 18:00:00,1.15522,1.1573,1.15482,1.15647,14324,0,13,198000.0
2021-11-08 09:30:00,2021-11-08 01:30:00,1.15647,1.15692,1.15511,1.15595,13359,0,17,28800.0
2021-11-08 13:30:00,2021-11-08 10:00:00,1.15595,1.1576,1.15503,1.15716,13454,0,8,12600.0
2021-11-08 17:00:00,2021-11-08 14:00:00,1.15711,1.15947,1.15642,1.15927,13525,0,7,10800.0
2021-11-09 02:00:00,2021-11-08 17:30:00,1.15926,1.1595,1.15822,1.15851,13546,0,18,30600.0
2021-11-09 08:30:00,2021-11-09 02:30:00,1.15851,1.16066,1.15771,1.15972,13624,0,13,21600.0
2021-11-09 12:30:00,2021-11-09 09:00:00,1.15973,1.16031,1.15804,1.15907,13150,0,8,12600.0
2021-11-09 16:00:00,2021-11-09 13:00:00,1.15905,1.15999,1.15697,1.15938,13900,0,7,10800.0
2021-11-09 18:30:00,2021-11-09 16:30:00,1.15938,1.16086,1.15714,1.1587399999999999,14687,0,5,7200.0
2021-11-10 03:00:00,2021-11-09 19:00:00,1.1587399999999999,1.1598600000000001,1.15863,1.1592,13633,0,17,28800.0
2021-11-10 09:30:00,2021-11-10 03:30:00,1.1592,1.15937,1.1558,1.15684,13174,0,13,21600.0
2021-11-10 13:00:00,2021-11-10 10:00:00,1.15684,1.15822,1.15527,1.15564,13149,0,7,10800.0
2021-11-10 16:00:00,2021-11-10 13:30:00,1.15564,1.1569,1.15328,1.15637,16064,0,6,9000.0
2021-11-10 18:00:00,2021-11-10 16:30:00,1.15637,1.15743,1.15113,1.15249,15697,0,4,5400.0
2021-11-10 20:30:00,2021-11-10 18:30:00,1.15251,1.15269,1.14816,1.14985,14815,0,5,7200.0
